customerID,TotalCharges,MonthlyCharges,Churn,processed_timestamp,bolt_id,processing_status
1571-SAVHK,1132.75,99.95,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3407-JMJQQ,7661.8,109.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6950-TWMYB,4362.05,79.95,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5402-HTOTQ,875.35,55.3,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4607-CHPCA,2178.6,90.4,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6906-ANDWJ,1107.25,74.9,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8261-GWDBQ,6925.9,116.05,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7771-ZONAT,1304.85,56.75,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3785-NRHYR,19.65,19.65,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8999-EXMNO,387.7,20.15,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8035-BUYVG,1716.45,42.35,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4918-QLLIW,188.7,53.4,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2722-JMONI,49.55,49.55,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4587-NUKOX,246.5,79.1,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0042-RLHYP,1396.9,19.7,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7008-LZVOZ,1672.35,25.3,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
9402-ROUMJ,6689.0,100.25,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4644-PIZRT,1201.65,70.35,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5056-FIMPT,4532.3,106.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0365-GXEZS,1468.75,78.2,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
0799-DDIHE,639.45,46.3,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7963-GQRMY,134.5,44.3,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4191-XOVOM,6713.2,105.4,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6082-GLJIX,331.35,19.25,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3606-SBKRY,1523.4,50.05,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7967-HYCDE,553.4,70.7,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
9122-UMROB,20.3,20.3,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1834-WULEG,439.75,20.25,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3588-WSTTJ,3554.6,99.05,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3533-UVMOM,4741.45,70.95,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2920-RNCEZ,69.95,69.95,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2257-BOVXD,979.5,66.6,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4791-QRGMF,5961.1,99.5,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1215-FIGMP,5450.7,89.9,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5186-SAMNZ,69.5,69.5,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6784-XYJAE,1941.5,55.8,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7217-JYHOQ,1706.45,70.3,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5404-GGUKR,262.3,51.35,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2368-GAKKQ,7939.25,113.65,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6147-CBCRA,669.45,20.05,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5038-ETMLM,8182.75,113.65,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
7752-XUSCI,6396.45,105.9,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5510-BOIUJ,19.25,19.25,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3398-ZOUAA,1474.75,69.1,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3221-CJMSG,1269.6,51.1,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5575-TPIZQ,4245.55,89.15,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5835-BEQEU,228.4,76.95,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
2719-BDAQO,1625.65,93.85,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
4283-FUTGF,1471.75,79.85,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
8969-PRHFK,411.25,19.65,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1784-BXEFA,187.35,20.55,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3191-CSNMG,239.45,80.7,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6854-EXGSF,573.15,65.5,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
3207-OYBWH,5427.05,95.25,Yes,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1951-IEYXM,6441.85,90.6,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5025-GOOKI,347.65,18.9,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5811-IWXYM,5301.1,101.25,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6181-AXXYF,1859.1,24.75,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
5619-XZZKR,68.2,19.95,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6029-CSMJE,440.2,25.65,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
9470-YFUYI,5012.1,71.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
1680-VDCWW,202.25,19.8,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
6992-TKNYO,2669.45,69.0,No,2025-06-20 14:24:01,churn_data_bolt,SUCCESS
